PLAYER,TEAM,GP,W,L,OFFRTG,DEFRTG,USG.,PIE,PACE,POSS,WINPCT,TEAMWIN
Mikal Bridges,BKN,83,42,41,114,113.2,22.3,11.2,98.56,6079,0.506,0.5
Derrick White,BOS,82,57,25,118.2,107.2,17.4,10,99.87,4807,0.695,0.695
Harrison Barnes,SAC,82,48,34,120,115.2,16.8,8.8,101.7,5634,0.585,0.537
Isaiah Hartenstein,NYK,82,47,35,114.6,110.2,10.7,8.7,100.25,3401,0.573,0.5
Jordan Poole,GSW,82,44,38,111,111.8,28.2,10.4,104.15,5348,0.537,0.427
KJ Martin,HOU,82,22,60,110.6,118.7,16,10.2,101.53,4858,0.268,0.402
Kevon Looney,GSW,82,44,38,116.4,112,10.4,11.6,102.64,4174,0.537,0.427
Nikola Vucevic,CHI,82,40,42,112.3,112.8,21.8,14.3,99.31,5686,0.488,0.549
Patrick Williams,CHI,82,40,42,110.7,113.2,15.6,6.9,100.05,4831,0.488,0.549
Tari Eason,HOU,82,22,60,108.6,113.4,18.4,9.5,101.96,3765,0.268,0.402
Immanuel Quickley,NYK,81,47,34,114.3,108.1,20.3,11.8,98.08,4799,0.58,0.5
Jevon Carter,MIL,81,57,24,109.2,107.2,14.9,7.3,102.73,3872,0.704,0.707
Malik Beasley,LAL,81,45,36,112.4,114.6,20.7,7.9,102.18,4461,0.556,0.329
Terance Mann,LAC,81,44,37,113.7,113.5,14.9,8.7,99.03,3859,0.543,0.427
Ayo Dosunmu,CHI,80,40,40,108.8,110.1,14.5,6.5,100.78,4395,0.5,0.549
Bruce Brown,DEN,80,53,27,113.8,113,17.4,9,99.19,4708,0.662,0.622
Buddy Hield,IND,80,35,45,114.4,116.3,20.5,10.4,102.05,5284,0.438,0.512
Davion Mitchell,SAC,80,47,33,114.4,111.8,14,6.1,102.04,3040,0.588,0.537
Franz Wagner,ORL,80,33,47,111.3,110.1,23,11,101.14,5491,0.412,0.488
Jalen McDaniels,PHI,80,31,49,110.5,113.9,16.5,8,102.48,4079,0.388,0.659
Keegan Murray,SAC,80,47,33,118.8,117.1,15.6,7.3,101.2,5028,0.588,0.537
Max Strus,MIA,80,42,38,109.3,113.1,17,7.3,97.54,4631,0.525,0.415
Onyeka Okongwu,ATL,80,41,39,114.2,112.4,15,11.1,101.77,3916,0.512,0.622
Sam Hauser,BOS,80,55,25,114.1,106.4,14.1,8.4,101.51,2732,0.688,0.695
Shaedon Sharpe,POR,80,32,48,110.8,118.4,18.6,7.1,100.99,3737,0.4,0.463
Tyus Jones,MEM,80,51,29,113.6,111.6,17.5,11.6,102.41,4144,0.637,0.549
Anthony Edwards,MIN,79,40,39,113.8,111.9,29.2,12.5,101.77,6016,0.506,0.207
Domantas Sabonis,SAC,79,47,32,120.7,116.8,21.3,16.1,100.46,5720,0.595,0.537
Evan Mobley,CLE,79,48,31,115.5,109,19.9,12.4,97.02,5481,0.608,0.573
Grant Williams,BOS,79,55,24,114.9,109,12.8,6.9,99.67,4227,0.696,0.695
Jabari Smith Jr.,HOU,79,21,58,109.1,120.4,18.3,7.7,100.35,5133,0.266,0.402
Jaden McDaniels,MIN,79,41,38,113.6,111.6,15.6,6.9,101.2,5080,0.519,0.207
Jonas Valanciunas,NOP,79,40,39,112.8,113.5,22.9,14,99.83,4101,0.506,0.646
Mason Plumlee,LAC,79,28,51,111.5,117.4,14.9,12.7,102.23,4368,0.354,0.427
Spencer Dinwiddie,BKN,79,41,38,114.1,114.2,22,11.3,96.28,5465,0.519,0.5
Torrey Craig,PHX,79,44,35,111.9,115.5,12.8,7.3,99.62,4030,0.557,0.488
Trey Murphy III,NOP,79,39,40,113.3,112.8,15.9,9.4,100.62,5138,0.494,0.646
Bennedict Mathurin,IND,78,33,45,111.5,115.8,23.5,8.7,103.25,4792,0.423,0.512
Brook Lopez,MIL,78,57,21,113.7,106.6,18.7,11.1,102.83,5100,0.731,0.707
Daniel Gafford,WAS,78,32,46,111.7,114.3,14.6,11.3,99.88,3336,0.41,0.512
Drew Eubanks,POR,78,31,47,113,117.1,12.2,9.8,100.32,3312,0.397,0.463
Georges Niang,PHI,78,51,27,112.5,111.1,16.2,7.2,100.5,3180,0.654,0.659
Jarred Vanderbilt,LAL,78,43,35,114.7,116.2,13.6,10.5,101.21,3946,0.551,0.329
Nicolas Batum,LAC,78,44,34,114.5,110,11.1,7.2,101.32,3609,0.564,0.427
Reggie Bullock Jr.,DAL,78,37,41,114.7,116.5,9.8,5.2,97.23,4790,0.474,0.537
Cedi Osman,CLE,77,48,29,115.4,108,17.8,8.2,97.56,3144,0.623,0.573
De'Anthony Melton,PHI,77,50,27,115.5,112.8,16.2,7.9,97.76,4372,0.649,0.659
Julius Randle,NYK,77,44,33,118.1,115.4,28.8,14.8,97.83,5587,0.571,0.5
Malik Monk,SAC,77,47,30,113.8,112.7,24.7,11.6,103.61,3724,0.61,0.537
Naji Marshall,NOP,77,40,37,111.2,111.4,17.2,8.6,101.09,3779,0.519,0.646
Saddiq Bey,ATL,77,24,53,113.9,117,19.4,9.4,102.41,4539,0.312,0.622
Santi Aldama,MEM,77,47,30,112.7,110.2,15.7,9.3,102.96,3607,0.61,0.549
Scottie Barnes,TOR,77,38,39,114.8,111.6,20,10.3,98.71,5506,0.494,0.585
Zach LaVine,CHI,77,38,39,112,111.7,27.8,12.6,99.7,5750,0.494,0.549
Chris Boucher,TOR,76,39,37,110.4,111.6,17.5,11.2,98.49,3136,0.513,0.585
Christian Braun,DEN,76,49,27,107,111.3,12.7,6.7,99.87,2454,0.645,0.622
Deni Avdija,WAS,76,33,43,113.3,114.1,16.5,8.4,99.76,4192,0.434,0.512
Dwight Powell,DAL,76,37,39,119.4,113.2,12.3,7.8,97.73,2961,0.487,0.537
Isaac Okoro,CLE,76,48,28,114.5,109,11.7,6,98.32,3359,0.632,0.573
Ivica Zubac,LAC,76,43,33,112.8,113.4,14.9,10.9,98.37,4443,0.566,0.427
Jalen Green,HOU,76,20,56,111.2,120,27.4,9.6,100.64,5469,0.263,0.402
Josh Giddey,OKC,76,34,42,111.8,114,23.9,13.1,103.17,5090,0.447,0.537
Josh Hart,NYK,76,42,34,119.4,113.5,12.4,10.1,99.12,5074,0.553,0.5
Kentavious Caldwell-Pope,DEN,76,51,25,121.4,111.5,13.6,6.6,100.61,4992,0.671,0.622
Killian Hayes,DET,76,16,60,106.7,117.6,20.1,7.5,100.24,4494,0.211,0.268
Nic Claxton,BKN,76,41,35,115.1,111.3,15.5,13.4,98.59,4640,0.539,0.5
Royce O'Neale,BKN,76,42,34,113.9,111.8,13.6,6.7,98.52,4934,0.553,0.5
Shake Milton,PHI,76,52,24,114.1,110.2,17.5,9,101.46,3319,0.684,0.659
Troy Brown Jr.,LAL,76,40,36,112,112.5,11.9,6.7,102.11,3958,0.526,0.329
Alperen Sengun,HOU,75,18,57,112.5,120.3,21.1,12.5,99.97,4551,0.24,0.402
Andrew Nembhard,IND,75,32,43,112.3,118.2,15.9,6.8,102.78,4439,0.427,0.512
Bam Adebayo,MIA,75,40,35,113,111.2,25.1,14.2,97.04,5262,0.533,0.415
CJ McCollum,NOP,75,38,37,114.5,113.5,26,11,99.6,5497,0.507,0.646
Jalen Williams,OKC,75,36,39,111.6,112.6,18,10.2,103.46,4903,0.48,0.537
Kevin Huerter,SAC,75,44,31,121,116.6,19.7,9.1,100.39,4614,0.587,0.537
P.J. Tucker,PHI,75,48,27,117.3,113.3,6.6,3.2,96.47,3851,0.64,0.659
T.J. McConnell,IND,75,31,44,110.5,112.9,18.2,13.4,103.95,3313,0.413,0.512
Usman Garuba,HOU,75,21,54,103.3,115.5,9.9,7.9,102.41,2070,0.28,0.402
Caris LeVert,CLE,74,45,29,113,108.5,18.3,8.9,97.56,4543,0.608,0.573
Coby White,CHI,74,37,37,114,110.1,17,8.8,100.99,3640,0.5,0.549
Corey Kispert,WAS,74,31,43,112.4,115.6,13.9,7.3,100.22,4377,0.419,0.512
Damion Lee,PHX,74,40,34,110.1,107.3,15.5,8.4,101.13,3170,0.541,0.488
DeMar DeRozan,CHI,74,37,37,112.2,110.7,27.2,13.8,99.82,5569,0.5,0.549
Dejounte Murray,ATL,74,38,36,114.3,115.4,23.9,12,101.67,5705,0.514,0.622
Jaden Ivey,DET,74,16,58,107.1,120.1,25.1,8.1,100.5,4818,0.216,0.268
Jayson Tatum,BOS,74,52,22,119.2,110.8,31.9,16.7,99.76,5674,0.703,0.695
Joe Harris,BKN,74,40,34,112.1,113.2,14.1,6.7,100.26,3194,0.541,0.5
Luguentz Dort,OKC,74,36,38,115,114.1,19.4,6.2,102.98,4870,0.486,0.537
Tobias Harris,PHI,74,47,27,117.2,111.7,18,10.5,96.53,4910,0.635,0.659
Trey Lyles,SAC,74,43,31,116.3,112.3,17.4,9.9,102.64,2666,0.581,0.537
Walker Kessler,UTA,74,34,40,115.7,112.7,13,12.8,101.47,3585,0.459,0.524
Aaron Nesmith,IND,73,30,43,113.8,118.5,16.8,5.9,102.4,3863,0.411,0.512
De'Aaron Fox,SAC,73,44,29,119.9,116.8,28.8,13.7,103.08,5235,0.603,0.537
Devonte' Graham,SAS,73,31,42,107.5,113.7,16.5,8.3,102.17,2857,0.425,0.268
Dillon Brooks,MEM,73,46,27,113.4,108.5,21.4,6,101.92,4690,0.63,0.549
Draymond Green,GSW,73,41,32,116.2,109.2,12.9,10,104.05,4979,0.562,0.427
Isaiah Joe,OKC,73,36,37,117.3,112.2,17,9.3,103.42,3033,0.493,0.537
P.J. Washington,CHA,73,24,49,107.5,114.8,20,8.3,103.2,5114,0.329,0.451
RJ Barrett,NYK,73,40,33,115.3,116.5,25.6,8.7,98.88,5100,0.548,0.5
Russell Westbrook,LAC,73,36,37,114.1,114.3,26.6,11.5,104.59,4626,0.493,0.427
Trae Young,ATL,73,38,35,115.9,114.6,31.3,14.3,104.39,5537,0.521,0.622
AJ Griffin,ATL,72,34,38,113.6,112,17.4,7.7,102.67,3005,0.472,0.622
Donte DiVincenzo,GSW,72,42,30,113.5,110.6,14.6,9.2,104.2,4115,0.583,0.427
Grayson Allen,MIL,72,53,19,113.9,109.1,14.3,7.8,102.56,4224,0.736,0.707
Jakob Poeltl,TOR,72,26,46,112.4,115.5,18,13,100.54,3983,0.361,0.585
John Konchar,MEM,72,45,27,114.6,107.5,10,7.9,102.79,3192,0.625,0.549
Josh Okogie,PHX,72,38,34,112.9,108,17.4,7.8,100.74,2820,0.528,0.488
Paolo Banchero,ORL,72,31,41,111.1,115.3,27.2,10.8,100.66,5095,0.431,0.488
Caleb Martin,MIA,71,38,33,110.7,110.7,14.3,7.8,97.87,4232,0.535,0.415
D'Angelo Russell,LAL,71,39,32,113.6,112.1,22.5,11.5,101.24,4864,0.549,0.329
John Collins,ATL,71,37,34,115,115.2,16.8,8.6,102.6,4547,0.521,0.622
Matisse Thybulle,POR,71,38,33,109.9,110.3,10.2,5.5,101.68,2542,0.535,0.463
Pascal Siakam,TOR,71,35,36,115.6,113.3,27,13.5,98.17,5422,0.493,0.585
Quentin Grimes,NYK,71,41,30,118.6,114.2,14.2,7,97.97,4328,0.577,0.5
Tim Hardaway Jr.,DAL,71,37,34,117.9,114.5,20.1,8.1,97.41,4373,0.521,0.537
Aaron Wiggins,OKC,70,37,33,112.7,111.2,14.3,7.7,102.4,2754,0.529,0.537
Bobby Portis,MIL,70,47,23,111.8,112,21.1,13.8,102.34,3887,0.671,0.707
Bol Bol,ORL,70,26,44,107.6,112,17.7,11.4,100.95,3163,0.371,0.488
David Roddy,MEM,70,44,26,110.6,112.5,16.3,5.6,102.6,2686,0.629,0.549
Jalen Johnson,ATL,70,35,35,111.1,110.8,15.6,9.9,103.32,2234,0.5,0.622
Kendrick Nunn,WAS,70,30,40,110.3,112.6,22.7,7.6,104.1,2087,0.429,0.512
Rudy Gobert,MIN,70,34,36,110.8,110.3,16.1,13.7,100.29,4477,0.486,0.207
Darius Garland,CLE,69,40,29,116.9,108.8,26.2,13,97.1,4968,0.58,0.573
Eric Gordon,LAC,69,25,44,110.6,116.4,17.1,7.8,102.17,4198,0.362,0.427
Fred VanVleet,TOR,69,34,35,116.1,112.8,22.5,11.3,98.23,5199,0.493,0.585
JT Thor,CHA,69,22,47,102.7,110.2,13,5.1,102.44,2064,0.319,0.451
Jock Landale,PHX,69,35,34,113,105.1,18.2,10.6,102.03,2069,0.507,0.488
Klay Thompson,GSW,69,38,31,115.4,112.6,25.6,10,103.95,4945,0.551,0.427
Kyle Anderson,MIN,69,36,33,113.9,111.7,14.3,10.8,101.66,4143,0.522,0.207
Luke Kornet,BOS,69,45,24,111.8,107.9,11.1,9.9,101.15,1692,0.652,0.695
Nikola Jokic,DEN,69,48,21,124.2,111.6,26.3,21.1,100.42,4873,0.696,0.622
Paul Reed,PHI,69,44,25,111,111.5,15.2,10.6,100.08,1570,0.638,0.659
Aaron Gordon,DEN,68,45,23,123,110.9,20.6,11.2,100.16,4288,0.662,0.622
Donovan Mitchell,CLE,68,44,24,116.3,110.4,31,14.9,96.89,4932,0.647,0.573
Gabe Vincent,MIA,68,37,31,111,111.7,17,5.8,98.16,3595,0.544,0.415
Jalen Brunson,NYK,68,40,28,119.2,117.1,26.6,13.8,97.64,4860,0.588,0.5
Jalen Smith,IND,68,31,37,111.4,115.3,20.1,9.9,103.54,2763,0.456,0.512
Jarrett Allen,CLE,68,44,24,116.5,108.8,16.2,13.4,96.62,4469,0.647,0.573
Kelly Olynyk,UTA,68,28,40,116.4,116,17.6,10,100.9,4080,0.412,0.524
Naz Reid,MIN,68,32,36,109.2,113.3,24.2,12.2,104.39,2714,0.471,0.207
Reggie Jackson,DEN,68,36,32,109.5,111.7,20.5,7.3,98.47,3397,0.529,0.622
Shai Gilgeous-Alexander,OKC,68,33,35,116.1,113.3,31.8,17.5,103.47,5211,0.485,0.537
Tre Jones,SAS,68,20,48,110.9,118.8,18.9,11.1,102.8,4252,0.294,0.268
Wenyen Gabriel,LAL,68,37,31,111.2,111.4,13.5,8.2,103.95,2205,0.544,0.329
Alex Caruso,CHI,67,33,34,112.6,106.5,10.9,7.1,99.79,3275,0.493,0.549
Andre Drummond,CHI,67,32,35,108.7,106,19.6,15.6,101.72,1789,0.478,0.549
Christian Wood,DAL,67,33,34,115.4,116.7,25.9,14.4,97.15,3519,0.493,0.537
De'Andre Hunter,ATL,67,35,32,114.9,115.5,19.3,6.9,102.79,4556,0.522,0.622
Deandre Ayton,PHX,67,36,31,113.2,113.2,23.1,14.5,98.63,4178,0.537,0.488
Jalen Duren,DET,67,16,51,108,116.2,13.9,11.6,100.27,3493,0.239,0.268
Jaylen Brown,BOS,67,46,21,116.6,111.2,30.7,13.2,100.51,5030,0.687,0.695
Jonathan Kuminga,GSW,67,38,29,111.7,113,19.5,8.5,103.18,2992,0.567,0.427
Jrue Holiday,MIL,67,50,17,117,107.9,24.4,13.5,102.82,4698,0.746,0.707
Keita Bates-Diop,SAS,67,18,49,108.1,116.6,16.5,9.9,103.18,3122,0.269,0.268
Malcolm Brogdon,BOS,67,46,21,114.4,109.3,22.3,13.3,99.91,3628,0.687,0.695
Mike Conley,MIN,67,34,33,117.3,116.1,16.1,9.9,100.09,4232,0.507,0.207
OG Anunoby,TOR,67,33,34,114.4,111.4,19.2,8.7,98.34,4881,0.493,0.585
Obi Toppin,NYK,67,37,30,112.8,110.4,18.7,9.5,101.35,2220,0.552,0.5
Patrick Beverley,CHI,67,34,33,111.6,113.1,10.7,5.6,100.08,3777,0.507,0.549
Tre Mann,OKC,67,31,36,109.3,108.2,20,7.2,102.78,2548,0.463,0.537
Tyler Herro,MIA,67,37,30,113.9,111.3,25,11.9,97.15,4746,0.552,0.415
Chimezie Metu,SAC,66,41,25,113.9,107.3,16.8,11.7,106.03,1516,0.621,0.537
Dennis Schroder,LAL,66,37,29,115,112.2,18.3,7.7,101.8,4215,0.561,0.329
Dorian Finney-Smith,BKN,66,31,35,114,114.3,12.9,5.6,96.9,4057,0.47,0.5
Gary Trent Jr.,TOR,66,31,35,111.8,113.8,20.9,9.1,99.89,4425,0.47,0.585
Herbert Jones,NOP,66,31,35,115.8,111.8,14.4,6.8,99.3,4031,0.47,0.646
Joel Embiid,PHI,66,43,23,119,110.2,37,21.3,97.34,4639,0.652,0.659
Lauri Markkanen,UTA,66,32,34,117.4,113.6,25.9,15.4,101.06,4777,0.485,0.524
Luka Doncic,DAL,66,33,33,118.1,116,36.8,20.2,97.63,4874,0.5,0.537
Malaki Branham,SAS,66,15,51,108.3,119.4,18.8,6.5,104.36,3374,0.227,0.268
Clint Capela,ATL,65,35,30,115.3,116.4,15.1,13.5,102.96,3716,0.538,0.622
Jamal Murray,DEN,65,43,22,118.9,112.5,25.6,12.1,99.13,4413,0.662,0.622
Jaylen Nowell,MIN,65,34,31,111.2,111.3,23.8,9.5,105.04,2736,0.523,0.207
Josh Richardson,NOP,65,24,41,108.4,113.6,18,8.3,102.79,3279,0.369,0.646
Kristaps Porzingis,WAS,65,27,38,116.2,114.8,27.2,14.5,99.2,4388,0.415,0.512
Larry Nance Jr.,NOP,65,34,31,114.1,107.4,11.8,11,100.69,2893,0.523,0.646
Marcus Morris Sr.,LAC,65,35,30,113.7,113.9,17.6,7.2,98.01,3724,0.538,0.427
Nick Richards,CHA,65,21,44,107.5,112,15.1,12,101.86,2586,0.323,0.451
Oshae Brissett,IND,65,27,38,112.4,111.8,15.5,7.3,102.21,2310,0.415,0.512
Talen Horton-Tucker,UTA,65,30,35,112,112,25,10,103.46,2826,0.462,0.524
Austin Reaves,LAL,64,35,29,115.4,110.5,15.4,10,103.38,3978,0.547,0.329
Derrick Jones Jr.,CHI,64,29,35,112.8,106,13.8,7.7,101.46,1886,0.453,0.549
Doug McDermott,SAS,64,19,45,108.7,118.4,18.6,7.1,104.39,2876,0.297,0.268
Jimmy Butler,MIA,64,35,29,114.9,113.7,24.8,17.7,97.02,4320,0.547,0.415
Josh Christopher,HOU,64,16,48,105.4,119.3,21.5,7.3,100.28,1644,0.25,0.402
Kyle Kuzma,WAS,64,29,35,112.9,112.6,27.3,10.9,100.4,4681,0.453,0.512
